Adjustments,expocode
5.31835881950784,06AQ19860627
-0,06AQ19890906
-0,06AQ19901117
-2.46162703805168,06AQ19920521
4.58157494804826,06AQ19920530
9.89506119441536,06AQ19920929
5.79226232429451,06AQ19921203
1.66763159457425,06AQ19960317
1.00663647062602,06AQ19980328
3.79341678009502,06AQ20021124
2.09686977798568,06AQ20050122
3.39053337040831,06AQ20060825
2.612927332283,06AQ20071128
2.30707897567244,06AQ20080210
3.99744662674914,06AQ20101128
0.664675239648713,06AQ20120107
2.53369469301984,06AQ20141202
0.105799557538166,06AQ20181215
-0,06BE20001128
-0,06BE20030525
2.49422417723691,06GA19960613
3.11074146553898,06GA20000506
-0,06M220060523
-0,06M220080723
-0,06M220081031
-0,06M220130509
-0,06M220140507
-0,06M220150502
-0,06M220160331
1.85795942616391,06M220170104
-0,06M220170527
-0,06M220180406
-0,06MT19810328
5.5662342506386,06MT19900123
-0,06MT19901004
4.60259258780112,06MT19910210
9.51961921067074,06MT19920509
-0,06MT19920701
5.78088655711012,06MT19921227
-0,06MT19940219
7.24021230296674,06MT19940329
5.84667926004464,06MT19941012
9.68030353195818,06MT19960613
-0,06MT19960910
8.27835220201301,06MT19970107
4.39966557850101,06MT19970611
-0,06MT19990610
-0,06MT20010507
5.02102876210935,06MT20010717
-0,06MT20011018
-0,06MT20020607
-0,06MT20021013
-0,06MT20030626
2.9440433807589,06MT20030723
4.28594186060842,06MT20040311
-0,06MT20040710
-0,06MT20050813
3.04214232370697,06MT20060606
-0,06MT20060712
3.33614807805446,06MT20091026
-0,06MT20091126
-0,06MT20100804
-0,06MT20101014
-0,06MT20110405
-0,06MT20110624
-0,06MT20130525
-0,06MT20140317
-0,06MT20140530
5.01706029887999,06MT20150501
-0,06MT20160828
-0,06MT20170302
-0,06MT20180213
-0,06MT20190919
-1.15216538733825,096U20150321
-0,096U20160108
-0,096U20160314
0.341205619093139,096U20160426
0.181064360411536,096U20180111
-0,09AR19910925
2.29595654178459,09AR19930404
3.74386079816868,09AR19940101
3.57719036550607,09AR19941213
-0,09AR19950717
-0,09AR19960119
4.82572332145368,09AR19960822
2.55269378280924,09AR19980228
1.58596930095061,09AR20011029
-0,09AR20030103
2.4883566818894,09AR20041223
0.637218671299548,09AR20060102
0.906570024157615,09AR20071216
-0.70491910537633,09AR20080322
-0.241708237694412,09AR20110104
-0,09AR20120105
0.179014084146397,09AR20141205
0.84430892657781,09AR20160111
-0,09FA19930624
-0,09FA19950913
-0,09FA19960507
0.481123944000061,09FA20000926
1.21774600202364,09FA20010524
0.232097018064358,09SS20090203
-0,11BG20060531
-0,11BG20070510
-0,11BG20080507
-0,18DD19851029
-0,18DD19860415
5.06265390660718,18DD19890213
-0,18DD19910219
3.14515213592688,18DD19920203
1.65002374238213,18DD19920908
0.641236555269257,18DD19930226
-0,18DD19930514
-0,18DD19940207
0.413165871841689,18DD19940510
2.71871873173559,18DD19940906
4.14525059844972,18DD19941013
-0,18DD19950207
-0,18DD19950508
-0,18DD19950822
-0,18DD19960219
-0,18DD19960506
-0,18DD19960812
-0,18DD19970212
-0,18DD19970604
-0,18DD19970827
-0,18DD19980219
-0,18DD19980603
-0,18DD19980826
-0,18DD19990209
0.553130069894714,18DD19990602
-0,18DD19990824
-0,18DD20000208
-0,18DD20000531
-0,18DD20000905
1.14825731507767,18DD20010206
0.906464064048426,18DD20040218
-3.10709734554824,18DD20040602
-0.246770177014036,18DD20040821
-0.307818574170698,18DD20050211
-7.93966434459283,18DD20060130
-0.337836935321957,18DD20060919
0.842120686177345,18DD20070208
2.89277802911524,18DD20070530
-0.770778098360317,18DD20070814
2.06513393160465,18DD20080131
-3.39642720613481,18DD20080813
-8.51956989063573,18DD20100202
-7.17972528740818,18DD20100605
-0,18DD20100720
-0,18DD20110621
-0.840901952704931,18DD20140210
-0.0636893300949989,18DD20150210
-0.661870375308084,18DD20150818
2.84743405066345,18DD20160208
2.64930233574179,18DD20160605
1.11663464536727,18DD20160816
-2.09867401180458,18DD20170205
-1.01698706757507,18DD20170604
-0.875103307703133,18DD20190205
